train,eval,same_period,method,spearman_r,pearson_r,mae,clf_auc_roc,clf_auc_pr,clf_f1,clf_precision,clf_recall
0-3,0-3,True,Naive,0.7012707715974861,0.9474609268561348,7.366412213740458,,,,,
0-3,0-3,True,Linear,0.49276090056325395,0.8836943241221816,7.456876456876458,,,,,
0-3,0-3,True,RF,0.7157696298491864,0.9459028017242002,5.41175572519084,0.6563306618308651,0.6567359166642021,0.676590776415645,0.5648148148148148,0.8435225618631732
0-3,0-3,True,IRL_Dir,0.7299748672383327,0.9548656881218462,9.924894719661875,0.8335980083584329,0.8393430137570302,0.7340544572920552,0.7528691660290742,0.7161572052401747
0-3,0-3,True,RF_Dir,0.710393685513574,0.9484762985995182,10.418163315611796,0.7899850357647827,0.7988537787030056,0.6891025641025641,0.6156930126002291,0.7823871906841339
0-3,3-6,False,Naive,0.7827821841758058,0.9651342445818111,7.607142857142857,,,,,
0-3,3-6,False,Linear,0.5767144781600878,0.9032722314918764,6.366120218579235,,,,,
0-3,3-6,False,RF,0.8001584796300616,0.9677291608129621,4.091607142857143,0.6498578986176434,0.6096773174242998,0.6361416361416361,0.5077972709551657,0.8513071895424836
0-3,3-6,False,IRL_Dir,0.8310255196334169,0.9741393075729454,9.172164292440616,0.8459448310174745,0.8244157350488466,0.7311737484223811,0.753686036426713,0.7099673202614379
0-3,3-6,False,RF_Dir,0.8216768788408183,0.9677279692361507,9.814409824090864,0.8020533560266019,0.7810973580424077,0.6828298887122417,0.6648606811145511,0.701797385620915
0-3,6-9,False,Naive,0.7411160389668063,0.9519592319978465,8.8,,,,,
0-3,6-9,False,Linear,0.5688522984421412,0.8920491286337132,5.912751677852349,,,,,
0-3,6-9,False,RF,0.7359860843343551,0.9515299495773706,5.251692307692308,0.6392829620087186,0.5768450928243405,0.6087229369312833,0.4727095516569201,0.8546255506607929
0-3,6-9,False,IRL_Dir,0.7621789414423915,0.965136794258773,6.475637820678261,0.8096030641469503,0.742165468142694,0.6848351648351648,0.6833333333333333,0.6863436123348018
0-3,6-9,False,RF_Dir,0.7499627411842418,0.9626166184421553,7.0508204321145005,0.785417006935738,0.7104634677052666,0.6516478931998331,0.6188589540412044,0.6881057268722467
0-3,9-12,False,Naive,0.7635117006378804,0.9563737681582576,9.747967479674797,,,,,
0-3,9-12,False,Linear,0.6351054974590391,0.9276541080731553,5.5664160401002505,,,,,
0-3,9-12,False,RF,0.7677019400531624,0.9405454626650502,5.766097560975609,0.6572014773465698,0.5624302241190422,0.5653315824031516,0.4195906432748538,0.8661971830985915
0-3,9-12,False,IRL_Dir,0.7990273634133318,0.9722232625815399,5.76539835306566,0.8354404148627171,0.7416252283940576,0.6875593542260209,0.6510791366906474,0.7283702213279678
0-3,9-12,False,RF_Dir,0.8062727525912046,0.96729913908697,6.343868767845809,0.794569704217523,0.6935742324741149,0.6412213740458015,0.6488156539649845,0.6338028169014085
3-6,3-6,True,Naive,0.7827821841758058,0.9651342445818107,7.607142857142857,,,,,
3-6,3-6,True,Linear,0.5767144781600878,0.9032722314918766,6.366120218579235,,,,,
3-6,3-6,True,RF,0.8099887461101954,0.9664494879941585,4.042232142857143,0.6734307998482343,0.5232301139036772,0.6259196378041879,0.47878787878787876,0.9035947712418301
3-6,3-6,True,IRL_Dir,0.8199552782389326,0.9743030380415456,9.846745224869144,0.8381686281668563,0.8109998134057055,0.7254752851711027,0.6785206258890469,0.7794117647058824
3-6,3-6,True,RF_Dir,0.8393970432812692,0.9719597332593783,9.70544786078619,0.8099349268732685,0.7799319631726105,0.6956521739130435,0.6681715575620768,0.7254901960784313
3-6,6-9,False,Naive,0.7411160389668063,0.9519592319978463,8.8,,,,,
3-6,6-9,False,Linear,0.5688522984421412,0.8920491286337134,5.912751677852349,,,,,
3-6,6-9,False,RF,0.7379698322727334,0.9500076398144346,4.851538461538461,0.6378083987991857,0.44384406367859014,0.5910014513788099,0.4406926406926407,0.8969162995594714
3-6,6-9,False,IRL_Dir,0.771112714559641,0.9669451540128892,7.010568636942368,0.8150196110005636,0.7409332250490673,0.6874493927125506,0.6359550561797753,0.7480176211453744
3-6,6-9,False,RF_Dir,0.7383904078811018,0.9609326239146103,6.897996805047071,0.7845720661138013,0.6984154270690478,0.6602486963497793,0.6060382916053019,0.7251101321585903
3-6,9-12,False,Naive,0.7635117006378804,0.9563737681582575,9.747967479674797,,,,,
3-6,9-12,False,Linear,0.6351054974590391,0.9276541080731554,5.566416040100251,,,,,
3-6,9-12,False,RF,0.7819436905455971,0.9497658034060942,5.129837398373984,0.6551933194497725,0.4153035127961809,0.5533249686323714,0.40200546946216953,0.8873239436619719
3-6,9-12,False,IRL_Dir,0.7957598667527154,0.9722517443389481,6.351895301564922,0.8291703039247157,0.7277389298394863,0.6831955922865014,0.6283783783783784,0.7484909456740443
3-6,9-12,False,RF_Dir,0.7924916935536132,0.9654992132748763,6.181612354037635,0.8053459374926601,0.6866404412545051,0.6563088512241054,0.6168141592920354,0.7012072434607646
6-9,6-9,True,Naive,0.7411160389668063,0.9519592319978465,8.8,,,,,
6-9,6-9,True,Linear,0.5688522984421412,0.8920491286337136,5.912751677852349,,,,,
6-9,6-9,True,RF,0.7336565466585483,0.9510962455905491,5.252846153846154,0.6421262695391127,0.5025882719018665,0.5982545892266025,0.45429616087751373,0.8757709251101321
6-9,6-9,True,IRL_Dir,0.7756014976210039,0.9678562307805784,8.005637262818905,0.7899764207911112,0.7191661010803211,0.6490596238495399,0.594574780058651,0.7145374449339207
6-9,6-9,True,RF_Dir,0.7399779086653546,0.9591714397485186,7.629682968328218,0.7751341714496037,0.7040283519583674,0.6495648190563444,0.6765267175572519,0.6246696035242291
6-9,9-12,False,Naive,0.7635117006378804,0.9563737681582574,9.747967479674797,,,,,
6-9,9-12,False,Linear,0.6351054974590391,0.9276541080731555,5.5664160401002505,,,,,
6-9,9-12,False,RF,0.7715467605591497,0.949707309236559,5.528861788617886,0.6684976101746667,0.48041660662450936,0.5590526643814272,0.40496613995485325,0.9024144869215291
6-9,9-12,False,IRL_Dir,0.8025178642970765,0.9714925927944962,7.305737894906746,0.7974684194662136,0.6924553254551443,0.6432160804020101,0.5891213389121339,0.7082494969818913
6-9,9-12,False,RF_Dir,0.8016478240070598,0.9687698430150535,7.053812826368152,0.797928622317563,0.7021809526527465,0.6589147286821705,0.6355140186915887,0.6841046277665996
9-12,9-12,True,Naive,0.7635117006378804,0.9563737681582576,9.747967479674797,,,,,
9-12,9-12,True,Linear,0.6351054974590391,0.9276541080731555,5.5664160401002505,,,,,
9-12,9-12,True,RF,0.7741299942327297,0.946010313970382,4.387317073170731,0.6737107959038275,0.4568052027270706,0.5618262523779328,0.4101851851851852,0.8913480885311871
9-12,9-12,True,IRL_Dir,0.7850524320973027,0.9700578470295403,8.346183278454028,0.7417784919634539,0.6380081232112581,0.6025949062950504,0.5768169273229071,0.630784708249497
9-12,9-12,True,RF_Dir,0.7973189498544986,0.9694426400587497,8.256274674377794,0.7955126185126321,0.6851092695197389,0.6321243523316062,0.5943312666076174,0.6750503018108652
