team,tier,n_repos,total_rows,total_reviewers,avg_acceptance
cinder,大,8,45090,1047,0.5140144869362958
neutron,大,19,44097,1595,0.5996190763659982
nova,大,9,30009,1132,0.5077535682088329
ironic,大,19,26048,1258,0.7246374521523308
manila,中,7,9945,522,0.5149322472073948
octavia,大,5,7413,381,0.5349243785757828
tacker,小,6,5931,320,0.4045591975711457
glance,大,6,5365,462,0.54891448987875
horizon,大,20,4863,291,0.7572161630609691
skyline,小,2,4784,101,0.7724410783844636
keystone,大,7,4738,538,0.3447540108626884
swift,大,5,4377,235,0.6203185769138735
designate,中,5,3613,262,0.45643270139536235
heat,大,12,3439,547,0.4873038623281502
magnum,小,7,3178,311,0.5047652475524624
Telemetry,小,9,3159,319,0.6236697987607454
barbican,小,8,2387,296,0.4367761690802465
cyborg,小,4,2368,174,0.45307097603630647
watcher,小,5,2151,231,0.5144595995432658
mistral,小,7,1671,210,0.531311108532528
masakari,小,5,1630,227,0.33854883293194316
cloudkitty,小,5,1393,163,0.49076394414862257
trove,小,5,1043,156,0.4818226295439204
venus,小,5,978,62,0.6882231534417784
blazar,小,6,816,135,0.5582572264017572
freezer,極小,6,751,182,0.30311598868361633
zun,極小,6,621,109,0.7016800641073798
zaqar,小,5,553,130,0.4489167747743606
vitrage,極小,11,385,95,0.8480868251215704
rally,極小,3,309,105,0.46050243719535056
adjutant,極小,3,171,46,0.510068928852958
storlets,小,1,148,26,0.49324324324324326
