feature,mean,std,p50,p75,p90,p95,p99,max,n,current_cap
window_tenure_days,53.884639356337466,70.56264297960408,0.0,127.0,172.0,177.0,179.0,179.0,52947,2500.0
total_changes,7.904999338961603,43.02406058867669,0.0,0.0,13.0,35.0,154.0,1135.0,52947,500.0
total_reviews,8.288004986118194,41.43789794867307,0.0,2.0,10.0,35.0,191.54000000000087,1196.0,52947,500.0
recent_activity_frequency,0.048976020045202434,0.2547095775495702,0.0,0.0,0.06666666666666667,0.2,1.1333333333333333,9.066666666666666,52947,
avg_activity_gap,49.30269552866546,22.830793861117822,60.0,60.0,60.0,60.0,84.77995277777795,175.70686342592592,52947,120.0
activity_trend,0.01669667347113692,0.06342195964066019,0.0,0.0,0.010101010101010102,0.14285714285714285,0.3333333333333333,0.3333333333333333,52947,
unique_collaborator_count,0.14901883015090564,0.28548059393487085,0.0,0.1,0.6,1.0,1.0,1.0,52947,
overall_acceptance_rate,0.4460815881100089,0.24939507198818406,0.5,0.5,0.6666666666666666,1.0,1.0,1.0,52947,
recent_acceptance_rate,0.48314132717942665,0.17852794496751756,0.5,0.5,0.5,0.7751966292134823,1.0,1.0,52947,
recent_load_ratio_30d_all,0.22540309863484012,0.6071674237476983,0.0,0.0,0.9333333333333333,1.545912162162162,2.8666666666666667,5.966666666666666,52947,3.0
days_since_last_activity,462.0912421855818,332.25808564601766,730.0,730.0,730.0,730.0,730.0,730.0,52947,730.0
acceptance_trend,0.03705973906941772,0.2320160258624649,0.0,0.0,0.5,0.5,0.5,0.9375,52947,
reciprocity_score,0.17704027993164037,0.2574654851498108,0.0,0.5,0.5,0.5,1.0,1.0,52947,
recent_load_ratio_7d_30d,0.18433294873121897,0.7141850078610456,0.0,0.0,0.0,1.4285714285714284,4.285714285714286,4.2857142857142865,52947,3.0
core_reviewer_ratio,0.0006949847892655499,0.002896894774131989,0.0,0.0001880494570071929,0.001314750132230514,0.0033947562859637528,0.014153692469031556,0.0661592505854801,52947,0.2
recent_rejection_streak,0.0608325306438514,0.15632148970926113,0.0,0.1,0.2,0.3,1.0,1.0,52947,
acceptance_rate_last10,0.445968692561984,0.2550167224058104,0.5,0.5,0.7,1.0,1.0,1.0,52947,
active_months_ratio,0.1776871210833475,0.2966651011921503,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,52947,
response_time_trend,0.004010431957378588,0.10305041804293087,0.0,0.0,0.0,0.052067891020628546,0.4405763511116774,0.998755408961826,52947,
complex_pr_bias,-0.009677538875699637,0.10457348534139453,0.0,0.0,0.0,0.0,0.4166666666666667,0.875,52947,
avg_action_intensity,0.10524489048319544,0.1973987792191349,0.0,0.13711309200802088,0.35777087639996635,0.5477225575051661,0.9742308575403091,1.0,52947,
avg_change_lines,100.83213926465876,466.0277893272849,0.0,58.0,230.56666666666692,418.0,1505.9795959595963,33149.0,52947,2000.0
avg_response_time,0.402217001003477,0.21041541584404425,0.5,0.5,0.5,0.5,0.972881674017078,0.9998302757247998,52947,
avg_review_size,0.17857855721663632,0.28182421483796294,0.0,0.3,0.6,0.9,1.0,1.0,52947,
repeat_collaboration_rate,0.0951846594660966,0.22911334995457694,0.0,0.0,0.4444444444444444,0.57991304347826,1.0,1.0,52947,
