project,static_edges,cochange_edges,intersection,static_only,cochange_only,jaccard,static_recall_of_cochange,cochange_recall_of_static
openstack/cinder,50,30,30,20,0,0.6,1.0,0.6
openstack/glance,36,30,27,9,3,0.6923076923076923,0.9,0.75
openstack/heat,28,30,23,5,7,0.6571428571428571,0.7666666666666667,0.8214285714285714
openstack/horizon,24,30,19,5,11,0.5428571428571428,0.6333333333333333,0.7916666666666666
openstack/ironic,35,30,29,6,1,0.8055555555555556,0.9666666666666667,0.8285714285714286
openstack/keystone,64,30,26,38,4,0.38235294117647056,0.8666666666666667,0.40625
openstack/neutron,56,30,30,26,0,0.5357142857142857,1.0,0.5357142857142857
openstack/nova,78,30,30,48,0,0.38461538461538464,1.0,0.38461538461538464
openstack/octavia,29,30,25,4,5,0.7352941176470589,0.8333333333333334,0.8620689655172413
openstack/swift,17,30,17,0,13,0.5666666666666667,0.5666666666666667,1.0
