hub_q,period,n,continuation_rate,irl_auc,rf_auc
Q1_low,0-3m,517,0.38104448742746616,0.8790926395939086,0.8256583121827411
Q1_low,3-6m,517,0.402321083172147,0.8250871296987802,0.8246670400796614
Q1_low,6-9m,517,0.3733075435203095,0.8227867331926054,0.7729562464018422
Q1_low,9-12m,517,0.3346228239845261,0.8048376797956714,0.8282195187525205
Q2,0-3m,503,0.47514910536779326,0.7356171548117155,0.6982930772156714
Q2,3-6m,503,0.4433399602385686,0.7991591928251122,0.7753443305573351
Q2,6-9m,503,0.4194831013916501,0.7392066480555737,0.7433454521846392
Q2,9-12m,503,0.2803180914512923,0.6773245562477961,0.7367070255867717
Q3,0-3m,511,0.50293542074364,0.8427341523943748,0.797282392230154
Q3,3-6m,511,0.4892367906066536,0.8344367816091954,0.8105670498084291
Q3,6-9m,511,0.45792563600782776,0.8305023295998026,0.8201888364343238
Q3,9-12m,511,0.3816046966731898,0.771194417396949,0.8141512495942875
Q4_high,0-3m,493,0.5172413793103449,0.9099192618223759,0.8566979733069701
Q4_high,3-6m,493,0.3772819472616633,0.8736121326748626,0.8414678995481768
Q4_high,6-9m,493,0.30831643002028397,0.7532894736842104,0.7472893193394041
Q4_high,9-12m,493,0.3772819472616633,0.7049402823018458,0.8032730902595356
